dataset,model,num_datasets,dataset_type,score,model_type
wildjailbreak_test,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.9668976135488837,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.9655704008221994,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.9456967213114754,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.9663671373555841,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,wildguard,harmful,0.9949748743718593,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,aegis,harmful,1.0,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,toxichat,harmful,0.9637305699481865,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.9949748743718593,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.98989898989899,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.9949748743718593,Hidden States GDA
simplesafety_tests,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,1.0,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,wildguard,harmful,0.7459324155193993,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,aegis,harmful,0.6716232961586122,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,toxichat,harmful,0.850480109739369,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.7339901477832512,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.8202531645569621,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.8114856429463171,Hidden States GDA
toxicchat_humanannotated,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.796044499381953,Hidden States GDA
xstest,olmo2_1124_7b_inst,wildguard,harmful,0.9664082687338501,Hidden States GDA
xstest,olmo2_1124_7b_inst,aegis,harmful,0.7782258064516129,Hidden States GDA
xstest,olmo2_1124_7b_inst,toxichat,harmful,0.8739495798319328,Hidden States GDA
xstest,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.9560723514211886,Hidden States GDA
xstest,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.9690721649484536,Hidden States GDA
xstest,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.8177966101694916,Hidden States GDA
xstest,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.9585492227979274,Hidden States GDA
aegis,olmo2_1124_7b_inst,wildguard,harmful,0.8824833702882483,Hidden States GDA
aegis,olmo2_1124_7b_inst,aegis,harmful,0.9094827586206896,Hidden States GDA
aegis,olmo2_1124_7b_inst,toxichat,harmful,0.7794871794871795,Hidden States GDA
aegis,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.8977777777777778,Hidden States GDA
aegis,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.8839285714285714,Hidden States GDA
aegis,olmo2_1124_7b_inst,aegis+toxichat,harmful,0.911062906724512,Hidden States GDA
aegis,olmo2_1124_7b_inst,wildguard+aegis+toxichat,harmful,0.8957871396895787,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,wildguard,harmful,0.8793342579750347,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,aegis,harmful,0.8224543080939948,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,toxichat,harmful,0.8172514619883041,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,wildguard+aegis,harmful,0.878556557945871,Hidden States GDA
wildguardtest,olmo2_1124_7b_inst,wildguard+toxichat,harmful,0.8776077885952712,Hidden States GDA
