model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
olmo2_1124_7b,wildguardtest,6,0.807533843437316,0.7597354886113152,0.6856763925729443,0.9047619047619048,0.8832224608086677,0.8580485566970748,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,7,0.8216597998822837,0.7786705624543463,0.7068965517241379,0.9132275132275133,0.8956345697725009,0.8743602603454816,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,8,0.8304885226603884,0.7913043478260869,0.7241379310344828,0.9153439153439153,0.9021093848680055,0.8811140167224765,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,9,0.8316656856974691,0.7927536231884058,0.7254641909814323,0.9164021164021164,0.9036980899049863,0.8833752281651539,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,10,0.8363743378457916,0.7991329479768786,0.73342175066313,0.9185185185185185,0.9080579063337684,0.8855600920173101,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,11,0.85167745732784,0.8202567760342369,0.7625994694960212,0.9227513227513228,0.9184434339606753,0.8966241288937176,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,12,0.8546203649205415,0.8249468462083629,0.7718832891246684,0.9206349206349206,0.9230593799559317,0.9035098621102795,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,13,0.8522660388463802,0.8216062544420754,0.76657824933687,0.9206349206349206,0.9229534195051436,0.9077052710321016,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,14,0.8463802236609771,0.8158080451658434,0.76657824933687,0.91005291005291,0.9227288675564537,0.9055481697025554,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,15,0.8546203649205415,0.8261787473610134,0.7785145888594165,0.9153439153439153,0.9205675550503136,0.9024817224632184,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,16,0.8505002942907592,0.8201133144475921,0.7679045092838196,0.9164021164021164,0.9222973067800653,0.9060878437212038,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,17,0.8522660388463802,0.8213523131672598,0.7652519893899205,0.9216931216931217,0.9203373893029066,0.9013136485985275,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,18,0.8540317834020011,0.8226037195994278,0.7625994694960212,0.926984126984127,0.9231358679634541,0.9065587083757773,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,19,0.848145968216598,0.8149210903873745,0.753315649867374,0.9238095238095239,0.921608914712363,0.9070869068583095,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,20,0.8510888758092996,0.8183776022972002,0.7559681697612732,0.926984126984127,0.920218096080165,0.9035129210581252,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,21,0.8546203649205415,0.8239486813970064,0.76657824933687,0.9248677248677248,0.9188799068109412,0.9010285844201662,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,22,0.8552089464390819,0.8237822349570201,0.7625994694960212,0.9291005291005291,0.9199156526742732,0.9039415510392736,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,23,0.8534432018834609,0.8220157255182273,0.7625994694960212,0.9259259259259259,0.9211247245730005,0.9051006035783244,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,24,0.8528546203649205,0.821173104434907,0.7612732095490716,0.9259259259259259,0.9222109946247877,0.9065312896501427,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,25,0.8569746909947028,0.8263045032165832,0.76657824933687,0.9291005291005291,0.92363339087477,0.9062618633588906,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,26,0.8581518540317834,0.8264938804895609,0.7612732095490716,0.9354497354497354,0.9214250628043732,0.9054975497215151,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,27,0.8546203649205415,0.821917808219178,0.7559681697612732,0.9333333333333333,0.9225737863668898,0.907827285606706,945,754,Hidden States Maha,
